,Unnamed: 0.1,Unnamed: 0,Order Id,Order Status,Shipping Mode,shipping date,order date,Customer Id,discount percent,Order Total,Item Id,Product Price,Order Quantity,Profit Per Order
0,0,0,77202,COMPLETE,Standard Class,02/03/18 22:56,1/31/2018 22:56,20755,0.039999999,314.6400146,180517,327.75,1,91.25
1,1,3,75937,COMPLETE,Standard Class,1/16/2018 11:45,1/13/2018 11:45,19490,0.07,304.8099976,179252,327.75,1,22.86000061
2,2,4,75936,PENDING_PAYMENT,Standard Class,1/15/2018 11:24,1/13/2018 11:24,19489,0.090000004,298.25,179251,327.75,1,134.2100067
3,3,5,75935,CANCELED,Standard Class,1/19/2018 11:03,1/13/2018 11:03,19488,0.100000001,294.980011,179250,327.75,1,18.57999992
4,4,6,75934,COMPLETE,First Class,1/15/2018 10:42,1/13/2018 10:42,19487,0.119999997,288.4200134,179249,327.75,1,95.18000031
5,5,7,75933,PROCESSING,First Class,1/15/2018 10:21,1/13/2018 10:21,19486,0.129999995,285.1400146,179248,327.75,1,68.43000031
6,6,8,75932,CLOSED,Second Class,1/16/2018 10:00,1/13/2018 10:00,19485,0.150000006,278.5899963,179247,327.75,1,133.7200012
7,7,9,75931,CLOSED,First Class,1/15/2018 9:39,1/13/2018 9:39,19484,0.159999996,275.3099976,179246,327.75,1,132.1499939
8,8,10,75930,SUSPECTED_FRAUD,Second Class,1/19/2018 9:18,1/13/2018 9:18,19483,0.170000002,272.0299988,179245,327.75,1,130.5800018
9,9,11,75929,PENDING,Second Class,1/18/2018 8:57,1/13/2018 8:57,19482,0.180000007,268.7600098,179244,327.75,1,45.68999863
10,10,12,75928,PENDING,Second Class,1/17/2018 8:36,1/13/2018 8:36,19481,0.200000003,262.2000122,179243,327.75,1,21.76000023
11,11,13,75927,COMPLETE,First Class,1/15/2018 8:15,1/13/2018 8:15,19480,0.25,245.8099976,179242,327.75,1,24.57999992
12,12,14,75926,PROCESSING,First Class,1/15/2018 7:54,1/13/2018 7:54,19479,0.0,327.75,179241,327.75,1,16.38999939
13,13,17,75923,CLOSED,First Class,1/15/2018 6:51,1/13/2018 6:51,19476,0.029999999,317.9200134,179238,327.75,1,23.84000015
14,14,18,75922,COMPLETE,First Class,1/15/2018 6:30,1/13/2018 6:30,19475,0.039999999,314.6400146,179237,327.75,1,102.2600021
15,15,19,75921,PENDING_PAYMENT,Same Day,1/13/2018 18:09,1/13/2018 6:09,19474,0.050000001,311.3599854,179236,327.75,1,87.18000031
16,16,20,75920,PROCESSING,Same Day,1/13/2018 17:48,1/13/2018 5:48,19473,0.059999999,309.7200012,179235,327.75,1,154.8600006
17,17,21,75919,PENDING,Standard Class,1/18/2018 5:27,1/13/2018 5:27,19472,0.07,304.8099976,179234,327.75,1,82.30000305
18,18,22,75918,PENDING,Second Class,1/17/2018 5:06,1/13/2018 5:06,19471,0.090000004,298.25,179233,327.75,1,22.37000084
19,19,23,75917,CANCELED,Second Class,1/16/2018 4:45,1/13/2018 4:45,19470,0.100000001,294.980011,179232,327.75,1,17.70000076
20,20,24,75916,SUSPECTED_FRAUD,Second Class,1/15/2018 4:24,1/13/2018 4:24,19469,0.119999997,288.4200134,179231,327.75,1,90.27999878
21,21,25,75915,COMPLETE,Second Class,1/19/2018 4:03,1/13/2018 4:03,19468,0.129999995,285.1400146,179230,327.75,1,131.1699982
22,22,26,75914,PENDING,Second Class,1/18/2018 3:42,1/13/2018 3:42,19467,0.150000006,278.5899963,179229,327.75,1,90.54000092
23,23,27,75913,PENDING_PAYMENT,Standard Class,1/17/2018 3:21,1/13/2018 3:21,19466,0.159999996,275.3099976,179228,327.75,1,82.58999634
24,24,29,75911,PROCESSING,Standard Class,1/15/2018 2:39,1/13/2018 2:39,19464,0.180000007,268.7600098,179226,327.75,1,23.64999962
25,25,30,75910,ON_HOLD,Standard Class,1/19/2018 2:18,1/13/2018 2:18,19463,0.200000003,262.2000122,179225,327.75,1,73.41999817
26,26,31,75909,COMPLETE,Standard Class,1/18/2018 1:57,1/13/2018 1:57,19462,0.25,245.8099976,179224,327.75,1,113.0699997
27,27,32,75908,PENDING_PAYMENT,Standard Class,1/17/2018 1:36,1/13/2018 1:36,19461,0.0,327.75,179223,327.75,1,24.57999992
28,28,35,75905,PENDING_PAYMENT,First Class,1/15/2018 0:33,1/13/2018 0:33,19458,0.029999999,317.9200134,179220,327.75,1,152.6000061
29,29,36,75904,CLOSED,First Class,1/15/2018 0:12,1/13/2018 0:12,19457,0.039999999,314.6400146,179219,327.75,1,151.0299988
30,30,37,75903,COMPLETE,First Class,1/14/2018 23:51,01/12/18 23:51,19456,0.050000001,311.3599854,179218,327.75,1,62.27000046
31,31,38,75902,COMPLETE,Same Day,1/13/2018 11:30,01/12/18 23:30,19455,0.059999999,309.7200012,179217,327.75,1,35.0
32,32,39,75901,CANCELED,Same Day,1/13/2018 11:09,01/12/18 23:09,19454,0.07,304.8099976,179216,327.75,1,57.29999924
33,33,40,75900,PENDING_PAYMENT,Same Day,1/13/2018 10:48,01/12/18 22:48,19453,0.090000004,298.25,179215,327.75,1,143.1600037
34,34,41,75899,COMPLETE,Same Day,1/13/2018 10:27,01/12/18 22:27,19452,0.100000001,294.980011,179214,327.75,1,135.6900024
35,35,42,75898,CLOSED,Standard Class,1/16/2018 22:05,01/12/18 22:05,19451,0.119999997,288.4200134,179213,327.75,1,132.6699982
36,36,43,75897,PENDING_PAYMENT,Standard Class,1/15/2018 21:44,01/12/18 21:44,19450,0.129999995,285.1400146,179212,327.75,1,119.7600021
37,37,44,75896,COMPLETE,Standard Class,1/14/2018 21:23,01/12/18 21:23,19449,0.150000006,278.5899963,179211,327.75,1,31.47999954
38,38,45,75895,PENDING,Standard Class,1/18/2018 21:02,01/12/18 21:02,19448,0.159999996,275.3099976,179210,327.75,1,86.16999817
39,39,46,75894,PENDING,Second Class,1/17/2018 20:41,01/12/18 20:41,19447,0.170000002,272.0299988,179209,327.75,1,130.5800018
40,40,47,75893,PROCESSING,Standard Class,1/16/2018 20:20,01/12/18 20:20,19446,0.180000007,268.7600098,179208,327.75,1,0.0
41,42,51,45766,PENDING_PAYMENT,Second Class,11/01/16 01:31,10/30/2016 1:31,9702,0.050000001,75.98000336,114401,39.99000168,2,24.69000053
42,44,54,20365,PENDING_PAYMENT,Second Class,10/31/2015 6:24,10/25/2015 6:24,8011,0.180000007,82.0,50842,50.0,2,6.150000095
43,45,55,36146,PENDING_PAYMENT,Second Class,6/13/2016 15:12,06/11/16 15:12,3296,0.170000002,74.68000031,90273,44.99000168,2,22.40999985
44,46,56,41234,PENDING_PAYMENT,Second Class,8/29/2016 21:45,8/24/2016 21:45,3182,0.180000007,90.15000153,102921,54.97000122,2,25.23999977
45,49,60,46414,PENDING_PAYMENT,Second Class,11/13/2016 12:32,11/08/16 12:32,1535,0.050000001,113.9700012,116033,39.99000168,3,38.75
46,54,66,18108,PENDING_PAYMENT,Second Class,9/26/2015 7:41,9/22/2015 7:41,650,0.02,176.3699951,45253,59.99000168,3,81.12999725
47,55,67,62571,PENDING_PAYMENT,Second Class,07/04/17 09:03,07/02/17 09:03,9353,0.07,167.3699951,156394,59.99000168,3,43.52000046
48,57,69,65922,PENDING_PAYMENT,Second Class,8/23/2017 7:03,8/20/2017 7:03,12151,0.100000001,161.9700012,164735,59.99000168,3,40.49000168
49,60,72,67892,PENDING_PAYMENT,Second Class,9/21/2017 1:14,9/18/2017 1:14,3182,0.25,112.5,169747,50.0,3,12.71000004
50,61,73,12525,PENDING_PAYMENT,Second Class,07/08/15 19:42,07/02/15 19:42,4936,0.159999996,55.40999985,31344,21.98999977,3,7.760000229
51,63,76,58613,PENDING_PAYMENT,Second Class,05/09/17 14:23,05/05/17 14:23,8831,0.050000001,170.9700012,146701,59.99000168,3,42.74000168
52,65,78,7814,PENDING_PAYMENT,Second Class,4/30/2015 1:14,4/25/2015 1:14,5007,0.07,167.3699951,19544,59.99000168,3,80.33999634
53,67,82,7888,PENDING_PAYMENT,Second Class,4/30/2015 3:10,4/26/2015 3:10,5417,0.0,150.0,19707,50.0,3,72.0
54,68,83,6783,PENDING_PAYMENT,Second Class,4/14/2015 0:02,04/10/15 00:02,10759,0.039999999,115.1699982,16956,39.99000168,3,29.94000053
55,71,86,55155,PENDING_PAYMENT,Second Class,3/22/2017 2:54,3/16/2017 2:54,3752,0.07,139.5,137932,50.0,3,43.65999985
56,72,87,5991,PENDING_PAYMENT,Second Class,3/31/2015 10:33,3/29/2015 10:33,4673,0.119999997,132.0,14921,50.0,3,13.19999981
57,75,90,53403,PENDING_PAYMENT,Second Class,2/22/2017 13:05,2/18/2017 13:05,10485,0.170000002,124.5,133427,50.0,3,15.56000042
58,77,92,4919,PENDING,Standard Class,3/18/2015 18:59,3/13/2015 18:59,647,0.039999999,240.0,12307,50.0,5,9.600000381
59,79,94,6358,PENDING,Standard Class,04/07/15 19:08,04/03/15 19:08,4209,0.059999999,188.9499969,15921,39.99000168,5,68.58999634
60,80,95,57106,PENDING,Standard Class,4/15/2017 14:25,4/13/2017 14:25,8917,0.059999999,236.25,142841,50.0,5,51.97999954
61,81,97,52166,PENDING,Standard Class,02/02/17 11:43,1/31/2017 11:43,1425,0.090000004,136.5,130341,30.0,5,66.88999939
62,82,98,56172,PENDING,Standard Class,04/02/17 23:12,3/30/2017 23:12,2737,0.090000004,181.9499969,140494,39.99000168,5,11.46000004
