,title,discountedPrice,price,subType,type,rating,Member_number,foodtype
0,Besan 1 kg,74.0,160.0,"Atta, Flours and Sooji",Staples,4.1,1808,"Foodgrains, Oil & Masala"
1,Besan 500 g,37.0,80.0,"Atta, Flours and Sooji",Staples,2.3,2552,"Foodgrains, Oil & Masala"
2,Maida 1 kg,32.0,80.0,"Atta, Flours and Sooji",Staples,3.4,2300,"Foodgrains, Oil & Masala"
3,Rawa 1 kg,38.0,86.0,"Atta, Flours and Sooji",Staples,3.7,1187,"Foodgrains, Oil & Masala"
4,Maida 500 g,17.5,40.0,"Atta, Flours and Sooji",Staples,4.4,3037,"Foodgrains, Oil & Masala"
5,Rawa 500 g,20.0,43.0,"Atta, Flours and Sooji",Staples,3.3,4941,"Foodgrains, Oil & Masala"
6,Good Life MP Wheat Chakki Atta 10 kg,325.0,400.0,"Atta, Flours and Sooji",Staples,3.6,4501,"Foodgrains, Oil & Masala"
7,Uttam Superfine Maida 500 g,25.0,30.0,"Atta, Flours and Sooji",Staples,4.0,3803,"Foodgrains, Oil & Masala"
8,Aashirvaad Whole Wheat Atta 5 kg,210.0,245.0,"Atta, Flours and Sooji",Staples,3.5,2762,"Foodgrains, Oil & Masala"
9,Rajdhani Chana Sattu 500 g,59.0,81.0,"Atta, Flours and Sooji",Staples,4.3,4119,"Foodgrains, Oil & Masala"
10,Aashirvaad Whole Wheat Atta 10 kg,379.0,450.0,"Atta, Flours and Sooji",Staples,4.0,1340,"Foodgrains, Oil & Masala"
11,Chakki Atta 5 kg,145.0,210.0,"Atta, Flours and Sooji",Staples,2.2,2193,"Foodgrains, Oil & Masala"
12,Gajanann Foods Rajgira Flour 200 g,35.0,70.0,"Atta, Flours and Sooji",Staples,5.0,1997,"Foodgrains, Oil & Masala"
13,Gajanann Foods Upavas Bhajani 200 g,32.5,65.0,"Atta, Flours and Sooji",Staples,3.8,4546,"Foodgrains, Oil & Masala"
14,Bhagirathi Singhara atta 200 g,75.0,100.0,"Atta, Flours and Sooji",Staples,4.2,4736,"Foodgrains, Oil & Masala"
15,Bhagirathi Rajgira Peeth / Atta 200 g,37.5,50.0,"Atta, Flours and Sooji",Staples,4.0,1959,"Foodgrains, Oil & Masala"
16,Bhagirathi Upwas Bhajni 200 g,37.5,50.0,"Atta, Flours and Sooji",Staples,5.0,1974,"Foodgrains, Oil & Masala"
17,Nutrapoorna Sama / Varai Atta 200 g,30.67,46.0,"Atta, Flours and Sooji",Staples,4.9,2421,"Foodgrains, Oil & Masala"
18,Nutrapoorna Rajgira Atta 500 g,49.34,74.0,"Atta, Flours and Sooji",Staples,4.3,1513,"Foodgrains, Oil & Masala"
19,Nutrapoorna Kuti / Kuttu Atta 200 g,42.0,63.0,"Atta, Flours and Sooji",Staples,3.9,1905,"Foodgrains, Oil & Masala"
20,Nutrapoorna Singoda Atta 200 g,63.34,95.0,"Atta, Flours and Sooji",Staples,4.2,2810,"Foodgrains, Oil & Masala"
21,Chakki Atta 10 kg,279.0,375.0,"Atta, Flours and Sooji",Staples,4.1,2867,"Foodgrains, Oil & Masala"
22,Rajdhani Besan 500 g,45.0,70.0,"Atta, Flours and Sooji",Staples,3.9,3962,"Foodgrains, Oil & Masala"
23,Good Life MP Wheat Chakki Atta 5 kg,159.0,225.0,"Atta, Flours and Sooji",Staples,3.9,1088,"Foodgrains, Oil & Masala"
24,Good Life Sava Rice 500 g,65.0,70.0,"Atta, Flours and Sooji",Staples,5.0,4976,"Foodgrains, Oil & Masala"
25,Aashirvaad Select Sharbati Whole Wheat Atta 5 kg,239.0,295.0,"Atta, Flours and Sooji",Staples,3.3,4056,"Foodgrains, Oil & Masala"
26,Aashirvaad Multigrain Atta 5 kg,239.0,305.0,"Atta, Flours and Sooji",Staples,3.5,3611,"Foodgrains, Oil & Masala"
27,Aashirvaad Whole Wheat Atta 1 kg,48.36,52.0,"Atta, Flours and Sooji",Staples,4.0,1420,"Foodgrains, Oil & Masala"
28,Broken Wheat / Daliya 500 g,25.0,50.0,"Atta, Flours and Sooji",Staples,4.3,4286,"Foodgrains, Oil & Masala"
